"","1","2","3","4","5","6"
"out",1,1,1,1,1,1
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
"elt",0,0,0,0,0,0
