"","1","2","3","4","5","6"
"1",0.98267,0.98267,0.98267,0.98267,0.98267,0.98267
"2",0.99858,0.99858,0.99858,0.99858,0.99858,0.99858
"3",0.99928,0.99928,0.99928,0.99928,0.99928,0.99928
"4",0.99962,0.99962,0.99962,0.99962,0.99962,0.99962
"5",0.99979,0.99979,0.99979,0.99979,0.99979,0.99979
"6",0.99961,0.99961,0.99961,0.99961,0.99961,0.99961
"7",0.99976,0.99976,0.99976,0.99976,0.99976,0.99976
"8",0.99977,0.99977,0.99977,0.99977,0.99977,0.99977
"9",0.99977,0.99977,0.99977,0.99977,0.99977,0.99977
"10",0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
"11",0.99973,0.99973,0.99973,0.99973,0.99973,0.99973
"12",0.99978,0.99978,0.99978,0.99978,0.99978,0.99978
"13",0.99997,0.99997,0.99997,0.99997,0.99997,0.99997
"14",0.99968,0.99968,0.99968,0.99968,0.99968,0.99968
"15",0.99977,0.99977,0.99977,0.99977,0.99977,0.99977
"16",0.9997,0.9997,0.9997,0.9997,0.9997,0.9997
"17",0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
"18",0.99952,0.99952,0.99952,0.99952,0.99952,0.99952
"19",0.99957,0.99957,0.99957,0.99957,0.99957,0.99957
"20",0.99958,0.99958,0.99958,0.99958,0.99958,0.99958
"21",0.9997,0.9997,0.9997,0.9997,0.9997,0.9997
"22",0.99956,0.99956,0.99956,0.99956,0.99956,0.99956
"23",0.99958,0.99958,0.99958,0.99958,0.99958,0.99958
"24",0.99973,0.99973,0.99973,0.99973,0.99973,0.99973
"25",0.99973,0.99973,0.99973,0.99973,0.99973,0.99973
"26",0.99966,0.99966,0.99966,0.99966,0.99966,0.99966
"27",0.99949,0.99949,0.99949,0.99949,0.99949,0.99949
"28",0.99954,0.99954,0.99954,0.99954,0.99954,0.99954
"29",0.99942,0.99942,0.99942,0.99942,0.99942,0.99942
"30",0.99941,0.99941,0.99941,0.99941,0.99941,0.99941
"31",0.99945,0.99945,0.99945,0.99945,0.99945,0.99945
"32",0.99922,0.99922,0.99922,0.99922,0.99922,0.99922
"33",0.9994,0.9994,0.9994,0.9994,0.9994,0.9994
"34",0.99914,0.99914,0.99914,0.99914,0.99914,0.99914
"35",0.99905,0.99905,0.99905,0.99905,0.99905,0.99905
"36",0.99907,0.99907,0.99907,0.99907,0.99907,0.99907
"37",0.9986,0.9986,0.9986,0.9986,0.9986,0.9986
"38",0.99886,0.99886,0.99886,0.99886,0.99886,0.99886
"39",0.99876,0.99876,0.99876,0.99876,0.99876,0.99876
"40",0.99831,0.99831,0.99831,0.99831,0.99831,0.99831
"41",0.99849,0.99849,0.99849,0.99849,0.99849,0.99849
"42",0.99786,0.99786,0.99786,0.99786,0.99786,0.99786
"43",0.99779,0.99779,0.99779,0.99779,0.99779,0.99779
"44",0.99716,0.99716,0.99716,0.99716,0.99716,0.99716
"45",0.99802,0.99802,0.99802,0.99802,0.99802,0.99802
"46",0.99764,0.99764,0.99764,0.99764,0.99764,0.99764
"47",0.99718,0.99718,0.99718,0.99718,0.99718,0.99718
"48",0.99725,0.99725,0.99725,0.99725,0.99725,0.99725
"49",0.99671,0.99671,0.99671,0.99671,0.99671,0.99671
"50",0.9958,0.9958,0.9958,0.9958,0.9958,0.9958
"51",0.99553,0.99553,0.99553,0.99553,0.99553,0.99553
"52",0.99593,0.99593,0.99593,0.99593,0.99593,0.99593
"53",0.99501,0.99501,0.99501,0.99501,0.99501,0.99501
"54",0.99511,0.99511,0.99511,0.99511,0.99511,0.99511
"55",0.9945,0.9945,0.9945,0.9945,0.9945,0.9945
"56",0.99321,0.99321,0.99321,0.99321,0.99321,0.99321
"57",0.99286,0.99286,0.99286,0.99286,0.99286,0.99286
"58",0.99117,0.99117,0.99117,0.99117,0.99117,0.99117
"59",0.99007,0.99007,0.99007,0.99007,0.99007,0.99007
"60",0.99019,0.99019,0.99019,0.99019,0.99019,0.99019
"61",0.98779,0.98779,0.98779,0.98779,0.98779,0.98779
