"","x"
"0",0
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",8e-05
"15",0.00029
"16",0.00113
"17",0.00303
"18",0.00559
"19",0.01148
"20",0.02006
"21",0.02828
"22",0.04188
"23",0.05342
"24",0.0687
"25",0.08797
"26",0.10198
"27",0.11278
"28",0.12638
"29",0.13217
"30",0.13893
"31",0.13726
"32",0.13125
"33",0.11994
"34",0.11286
"35",0.0977
"36",0.08171
"37",0.06483
"38",0.05398
"39",0.03911
"40",0.0291
"41",0.01898
"42",0.01241
"43",0.00667
"44",0.00368
"45",0.00208
"46",0.00118
"47",0.00053
"48",0.00028
"49",3e-04
"50",1e-04
"51",0.00011
"52",0.00015
"53",3e-05
"54",2e-05
"55",2e-05
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
