"","x"
"0",0.99793
"1",0.99981
"2",0.99989
"3",0.99995
"4",0.99993
"5",1
"6",0.99989
"7",0.99991
"8",0.99991
"9",0.99991
"10",0.9998
"11",0.99996
"12",0.99996
"13",0.99984
"14",0.9998
"15",0.99994
"16",0.99977
"17",0.99996
"18",0.99981
"19",0.99978
"20",0.99974
"21",0.99974
"22",0.99983
"23",0.99973
"24",0.99974
"25",0.99978
"26",0.99972
"27",0.99972
"28",0.9997
"29",0.99963
"30",0.99974
"31",0.99961
"32",0.99961
"33",0.9996
"34",0.99953
"35",0.99975
"36",0.99966
"37",0.99959
"38",0.99953
"39",0.99962
"40",0.99948
"41",0.9995
"42",0.99935
"43",0.99929
"44",0.99927
"45",0.99928
"46",0.99896
"47",0.99901
"48",0.99887
"49",0.99844
"50",0.99847
"51",0.99825
"52",0.99832
"53",0.99805
"54",0.99802
"55",0.99733
"56",0.99707
"57",0.99673
"58",0.99669
"59",0.99604
"60",0.99534
"61",0.99512
"62",0.9951
"63",0.99395
"64",0.99369
"65",0.99283
"66",0.99227
"67",0.99143
"68",0.99072
"69",0.98885
"70",0.9891
"71",0.98644
"72",0.98608
"73",0.98498
"74",0.98258
"75",0.97929
"76",0.97908
"77",0.97464
"78",0.97279
"79",0.96948
"80",0.96337
"81",0.95722
"82",0.95221
"83",0.94307
"84",0.9399
"85",0.92759
"86",0.91975
"87",0.90926
"88",0.89538
"89",0.87801
"90",0.86525
"91",0.84325
"92",0.81869
"93",0.8002
"94",0.78403
"95",0.76029
"96",0.7363
"97",0.71152
"98",0.68623
"99",0.66071
"100",0
